title,aka,genres,year,votes,rating
Skyfall (2012),"['007 - Skyfall (2012)', 'Agente 007 - Skyfall (2012)', 'Bond 23 (2012)', 'James Bond 007 - Skyfall (2012)', 'Silver Bullet (2012)', 'Sky Fall (2012)', 'Skyfall (2012)', 'Skyfall (2012)', 'Skyfall: The IMAX Experience (2012)']","['Action', 'Adventure', 'Thriller']",[2012],533009,7.8
X: First Class (2011),"[""X-Men - L'inizio (2011)"", 'X-Men: Erste Entscheidung (2011)', 'X-Men: First Class (2011)', 'X-Men: First Class (2011)', 'X-Men: First Class (2011)', 'X-Men: First Class (2011)', 'X-Men: First Class (2011)']","['Action', 'Adventure', 'Sci-Fi']",[2011],530805,7.8
Indiana Jones and the Last Crusade (1989),"['Indiana Jones 3 (1989)', 'Indiana Jones and the Last Crusade (1989)', ""Indiana Jones e l'ultima crociata (1989)"", 'Indiana Jones und der letzte Kreuzzug (1989)', 'Indiana Jones und der letzte Kreuzzug (1992)']","['Action', 'Adventure', 'Fantasy']",[1989],530261,8.3
X-Men: Days of Future Past (2014),"['X-Men - Giorni di un futuro passato (2014)', 'X-Men: Days of Future Past (2014)', 'X-Men: Days of Future Past (2014)', 'X-Men: Days of Future Past the Rogue Cut (2014)', 'X-Men: First Class 2 (2014)', ""X-Men: Jours d'un avenir passé (2014)"", 'X-Men: Zukunft ist Vergangenheit (2014)']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",[2014],528459,8.0
Intouchables (2011),"['Quasi amici - Intouchables (2011)', 'The Intouchables (2011)', 'The Intouchables (2011)', 'The Intouchables (2012)', 'Untouchable (2011)', 'Untouchable (2012)', 'Ziemlich beste Freunde (2012)']","['Biography', 'Comedy', 'Drama']",[2011],526129,8.6
Kill Bill: Vol. 2 (2004),"['Kill Bill (2004)', 'Kill Bill - Volume 2 (2004)', 'Kill Bill Part 2 (2004)', 'Kill Bill: Vol. 2 (2004)', 'Vol. 2 (2004)']","['Action', 'Crime', 'Drama', 'Thriller']",[2004],525116,8.0
Captain America: The First Avenger (2011),"['Captain America (2008)', 'Captain America (2011)', 'Captain America - Il primo vendicatore (2011)', 'Frostbite (2009)', 'The First Avenger: Captain America (2010)']","['Action', 'Adventure', 'Sci-Fi']",[2011],524599,6.9
Transformers (2007),"['Prime Directive (2007)', 'The Transformers (2006)', 'Transformers (2007)', 'Transformers: The IMAX Experience (2007)', 'Transformers: The Movie 2 (2005)']","['Action', 'Adventure', 'Sci-Fi']",[2007],520594,7.1
The Martian (2015),"['Der Marsianer - Rettet Mark Watney (2015)', 'Sopravvissuto - The Martian (2015)', 'The Martian (2015)', 'The Martian 3D (2015)']","['Adventure', 'Drama', 'Sci-Fi']",[2015],517954,8.0
The King's Speech (2010),"['Il discorso del re (2011)', ""The King's Speech - Die Rede des Königs (2010)"", ""The King's Speech - Die Rede des Königs (2011)""]","['Biography', 'Drama']",[2010],517752,8.0
